x,y,z,polyline_id
598475.87,6909026.74,114.26,1
598475.76,6909026.74,114.52,1
598475.87,6909026.72,114.28,2
598475.83,6909026.74,114.49,2
598475.83,6909026.74,114.49,3
598475.76,6909026.74,114.52,3
598475.83,6909026.74,114.49,4
598475.82,6909026.74,114.54,4
598475.82,6909026.74,114.54,5
598475.86,6909026.74,114.61,5
598475.82,6909026.74,114.54,6
598475.76,6909026.74,114.52,6
598475.76,6909026.74,114.52,7
598475.7,6909026.75,114.51,7
598475.7,6909026.75,114.51,8
598475.54,6909026.75,114.55,8
598475.7,6909026.75,114.51,9
598475.59,6909026.75,114.26,9
598475.59,6909026.75,114.26,10
598475.57,6909026.75,114.33,10
598475.57,6909026.75,114.33,11
598475.45,6909026.76,114.38,11
598475.44,6909026.74,114.47,12
598475.37,6909026.74,114.54,12
598475.36,6909026.76,114.53,12
598475.37,6909026.74,114.54,13
598475.54,6909026.75,114.55,13
598476.05,6909026.73,113.7,14
598475.62,6909026.75,113.81,14
598475.62,6909026.75,113.81,15
598475.27,6909026.76,113.83,15
598475.27,6909026.76,113.83,16
598474.97,6909026.78,113.77,16
598474.97,6909026.78,113.77,17
598474.96,6909026.78,113.67,17
598474.96,6909026.78,113.67,18
598475.44,6909026.76,113.59,18
598474.97,6909026.78,113.77,19
598475.12,6909026.77,113.73,19
598475.12,6909026.77,113.73,20
598475.29,6909026.76,113.75,20
598475.27,6909026.76,113.83,21
598475.29,6909026.76,113.75,21
598475.29,6909026.76,113.75,22
598475.44,6909026.76,113.59,22
598477.52,6909026.67,113.47,23
598477.57,6909026.68,113.04,23
598477.57,6909026.68,113.04,24
598477.54,6909026.68,112.85,24
598477.67,6909026.68,112.85,25
598477.57,6909026.68,113.04,25
598477.14,6909026.68,112.92,26
598477.25,6909026.67,112.89,26
598477.14,6909026.68,112.92,27
598477.19,6909026.69,113.02,27
598477.2,6909026.67,113.02,28
598477.11,6909026.7,113.16,28
598476.72,6909026.69,113.03,29
598477.14,6909026.68,112.92,29
598476.8,6909026.7,114.72,30
598476.91,6909026.7,114.16,30
598476.89,6909026.7,114.34,31
598476.63,6909026.71,114.31,31
598476.74,6909026.7,114.02,32
598476.78,6909026.7,114.22,32
598477.56,6909026.67,114.52,33
598477.66,6909026.66,114.5,33
598477.66,6909026.66,114.5,34
598477.65,6909026.67,114.37,34
598477.66,6909026.66,114.5,35
598477.68,6909026.66,114.61,35
598477.68,6909026.66,114.61,36
598477.58,6909026.67,114.62,36
598477.56,6909026.67,114.52,37
598477.68,6909026.66,114.61,37
598477.67,6909026.64,114.5,38
598477.75,6909026.66,114.46,38
598477.75,6909026.66,114.46,39
598477.77,6909026.66,114.4,39
598477.75,6909026.66,114.46,40
598477.85,6909026.66,114.41,40
598477.75,6909026.66,114.46,41
598477.72,6909026.66,114.54,41
598477.72,6909026.66,114.54,42
598477.68,6909026.66,114.61,42
598477.72,6909026.66,114.54,43
598477.68,6909026.66,114.61,43
598477.72,6909026.66,114.54,44
598477.85,6909026.66,114.54,44
598477.85,6909026.66,114.43,45
598477.96,6909026.65,114.47,45
598477.96,6909026.65,114.47,46
598477.97,6909026.65,114.41,46
598478.02,6909026.65,114.46,47
598477.96,6909026.65,114.47,47
598478.02,6909026.65,114.46,48
598478.18,6909026.65,114.44,48
598478.18,6909026.65,114.44,49
598478.23,6909026.64,114.4,49
598478.42,6909026.63,114.67,50
598478.28,6909026.64,114.61,50
598478.01,6909026.65,114.63,51
598478.09,6909026.64,114.65,51
598478.09,6909026.64,114.65,52
598478.19,6909026.64,114.64,52
598478.19,6909026.64,114.64,53
598478.26,6909026.64,114.66,53
598478.26,6909026.64,114.66,54
598478.28,6909026.64,114.61,54
598478.31,6909026.64,114.45,55
598478.49,6909026.63,114.45,55
598478.31,6909026.64,114.45,56
598478.28,6909026.64,114.61,56
598478.42,6909026.63,114.67,57
598478.49,6909026.63,114.45,57
598478.49,6909026.63,114.45,58
598478.62,6909026.62,114.47,58
598478.62,6909026.62,114.47,59
598478.65,6909026.63,114.35,59
598478.62,6909026.62,114.47,60
598478.54,6909026.63,114.56,60
598478.54,6909026.63,114.56,61
598478.53,6909026.63,114.6,61
598478.53,6909026.63,114.6,62
598478.42,6909026.63,114.67,62
598478.42,6909026.63,114.67,63
598478.46,6909026.63,114.71,63
598478.48,6909026.61,114.7,64
598478.53,6909026.63,114.69,64
598478.53,6909026.63,114.69,65
598478.69,6909026.62,114.66,65
598478.53,6909026.63,114.69,66
598478.53,6909026.63,114.6,66
598478.69,6909026.62,114.66,67
598478.77,6909026.62,114.66,67
598478.77,6909026.62,114.66,68
598478.82,6909026.61,114.67,68
598478.82,6909026.61,114.67,69
598478.84,6909026.62,114.55,69
598478.84,6909026.62,114.55,70
598478.85,6909026.62,114.43,70
598478.85,6909026.62,114.43,71
598478.84,6909026.58,114.31,71
598478.85,6909026.62,114.43,72
598478.81,6909026.62,114.47,72
598478.81,6909026.62,114.47,73
598478.62,6909026.62,114.47,73
598478.81,6909026.62,114.47,74
598478.84,6909026.62,114.55,74
598478.84,6909026.62,114.55,75
598478.78,6909026.62,114.55,75
598478.78,6909026.62,114.55,76
598478.81,6909026.62,114.47,76
598478.78,6909026.62,114.55,77
598478.77,6909026.62,114.66,77
598478.54,6909026.63,114.56,78
598478.58,6909026.63,114.56,78
598478.58,6909026.63,114.56,79
598478.62,6909026.62,114.47,79
598478.84,6909026.62,114.55,80
598478.97,6909026.61,114.58,80
598478.97,6909026.61,114.58,81
598479.17,6909026.6,114.54,81
598479.19,6909026.58,114.47,82
598479.17,6909026.6,114.54,82
598479.17,6909026.6,114.54,83
598479.17,6909026.6,114.76,83
598478.82,6909026.61,114.67,84
598478.9,6909026.61,114.69,84
598478.9,6909026.61,114.69,85
598478.97,6909026.61,114.58,85
598478.9,6909026.61,114.69,86
598479.01,6909026.6,114.77,86
598479.01,6909026.58,114.77,87
598479.16,6909026.58,114.76,87
598478.97,6909026.61,114.58,88
598479.11,6909026.6,114.66,88
598479.11,6909026.6,114.66,89
598479.16,6909026.58,114.76,89
598479.16,6909026.58,114.76,90
598479.5,6909026.59,114.66,90
598478.47,6909026.61,114.7,91
598478.55,6909026.62,114.77,91
598478.55,6909026.62,114.77,92
598478.68,6909026.62,114.76,92
598478.68,6909026.62,114.76,93
598478.77,6909026.62,114.66,93
