x,y,z,porosity
598475.87,6909026.74,114.26,0.088221790957513
598475.76,6909026.74,114.52,0.15237387548295
598475.87,6909026.72,114.28,0.0846013096868833
598475.83,6909026.74,114.49,0.138546304416583
598475.83,6909026.74,114.49,0.110118679858376
598475.76,6909026.74,114.52,0.121461422891663
598475.83,6909026.74,114.49,0.175860394688755
598475.82,6909026.74,114.54,0.0998469719149081
598475.82,6909026.74,114.54,0.129399066846447
598475.86,6909026.74,114.61,0.0889439513151933
598475.82,6909026.74,114.54,0.16408095753033
598475.76,6909026.74,114.52,0.144445075828557
598475.76,6909026.74,114.52,0.0807577483930252
598475.7,6909026.75,114.51,0.175809632992283
598475.7,6909026.75,114.51,0.102398718955382
598475.54,6909026.75,114.55,0.10297814023042
598475.7,6909026.75,114.51,0.157808049543165
598475.59,6909026.75,114.26,0.179229555094306
598475.59,6909026.75,114.26,0.134684695996669
598475.57,6909026.75,114.33,0.0902571603493088
598475.57,6909026.75,114.33,0.0856159192367371
598475.45,6909026.76,114.38,0.102645834192937
598475.44,6909026.74,114.47,0.110954329646279
598475.37,6909026.74,114.54,0.161221239170351
598475.36,6909026.76,114.53,0.165590001525313
598475.37,6909026.74,114.54,0.0944305464328992
598475.54,6909026.75,114.55,0.101303679154243
598476.05,6909026.73,113.7,0.0124014480858214
598475.62,6909026.75,113.81,0.0403224280507814
598475.62,6909026.75,113.81,0.0708693899109589
598475.27,6909026.76,113.83,0.0959781183033063
598475.27,6909026.76,113.83,0.0145016975372423
598474.97,6909026.78,113.77,0.0740493310506221
598474.97,6909026.78,113.77,0.0308483808229186
598474.96,6909026.78,113.67,0.0244008349512842
598474.96,6909026.78,113.67,0.0769400927737472
598475.44,6909026.76,113.59,0.0973906708479121
598474.97,6909026.78,113.77,0.0433222858993832
598475.12,6909026.77,113.73,0.0689689686254158
598475.12,6909026.77,113.73,0.0713408387900653
598475.29,6909026.76,113.75,0.0214005491760199
598475.27,6909026.76,113.83,0.0970778811084441
598475.29,6909026.76,113.75,0.0318217688722875
598475.29,6909026.76,113.75,0.0579481341016819
598475.44,6909026.76,113.59,0.0848297571274293
598477.52,6909026.67,113.47,0.148229517708309
598477.57,6909026.68,113.04,0.131714343603865
598477.57,6909026.68,113.04,0.120977019821273
598477.54,6909026.68,112.85,0.0945102964332748
598477.67,6909026.68,112.85,0.104544690466929
598477.57,6909026.68,113.04,0.149886794296207
598477.14,6909026.68,112.92,0.0476503468335166
598477.25,6909026.67,112.89,0.0237086285758909
598477.14,6909026.68,112.92,0.0832045070319709
598477.19,6909026.69,113.02,0.0186463062199322
598477.2,6909026.67,113.02,0.0885953958967866
598477.11,6909026.7,113.16,0.131546714412529
598476.72,6909026.69,113.03,0.024733777630245
598477.14,6909026.68,112.92,0.0771257469699843
598476.8,6909026.7,114.72,0.134418948214844
598476.91,6909026.7,114.16,0.0957694113196506
598476.89,6909026.7,114.34,0.0885008046950525
598476.63,6909026.71,114.31,0.166394781344335
598476.74,6909026.7,114.02,0.157713731908654
598476.78,6909026.7,114.22,0.106701553814315
598477.56,6909026.67,114.52,0.12277203724554
598477.66,6909026.66,114.5,0.148558992559449
598477.66,6909026.66,114.5,0.103785815128963
598477.65,6909026.67,114.37,0.166844122906592
598477.66,6909026.66,114.5,0.177504414311341
598477.68,6909026.66,114.61,0.160007916228897
598477.68,6909026.66,114.61,0.173938677986619
